,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
208,0.3209,1.4379,1f,0.6,1,1.357383e-11,2.384017e-11,2.4461e-11,3.676188e-11,0.0
209,-0.5189,-0.378,1f,0.6,1,1.20588e-11,3.478923e-11,2.186361e-11,4.916646e-11,0.0
210,0.5518,0.3415,1f,0.6,1,1.463752e-11,2.769559e-11,2.392762e-11,4.038894e-11,0.0
211,0.29,-0.1841,1f,0.6,1,1.355988e-11,3.120727e-11,2.430942e-11,4.316856e-11,0.0
212,0.8485,-0.7446,1f,0.6,1,1.540448e-11,3.480839e-11,2.414294e-11,4.898784e-11,0.0
213,-1.2438,0.6697,1f,0.6,1,1.14176e-11,2.661731e-11,1.967137e-11,3.872581e-11,0.0
214,0.6131,-1.1911,1f,0.6,1,1.459211e-11,3.847377e-11,2.441154e-11,5.514713e-11,0.0
215,0.3824,0.9694,1f,0.6,1,1.38457e-11,2.538373e-11,2.437217e-11,3.658778e-11,0.0
216,-1.8849,0.6073,1f,0.6,1,1.052112e-11,2.634405e-11,1.837595e-11,3.885826e-11,0.0
217,0.8013,0.2451,1f,0.6,1,1.576255e-11,2.830105e-11,2.351369e-11,4.105906e-11,0.0
218,-1.3209,0.8362,1f,0.6,1,1.133969e-11,2.593536e-11,1.944842e-11,3.751107e-11,0.0
219,-2.4502,-1.2897,1f,0.6,1,9.50581e-12,3.919368e-11,1.750795e-11,5.644304e-11,0.0
220,0.4527,0.724,1f,0.6,1,1.385346e-11,2.634637e-11,2.475582e-11,3.828611e-11,0.0
221,-0.7223,-0.2172,1f,0.6,1,1.248935e-11,3.142286e-11,2.088295e-11,4.345701e-11,0.0
222,-0.5204,-1.5757,1f,0.6,1,1.274563e-11,4.460588e-11,2.020127e-11,6.051483e-11,0.0
223,1.4914,1.8448,1f,0.6,1,1.690252e-11,2.268407e-11,2.692757e-11,3.447278e-11,0.0
224,-0.2509,1.7263,1f,0.6,1,1.281466e-11,2.306521e-11,2.272123e-11,3.533098e-11,0.0
225,-0.6471,0.4233,1f,0.6,1,1.256239e-11,2.762683e-11,1.984593e-11,3.991113e-11,0.0
226,-1.3806,-0.6952,1f,0.6,1,1.08844e-11,3.777167e-11,1.981911e-11,5.102065e-11,0.0
227,-0.9646,0.383,1f,0.6,1,1.217021e-11,2.741721e-11,1.921298e-11,4.068512e-11,0.0
228,0.667,1.6099,1f,0.6,1,1.4816e-11,2.33595e-11,2.431811e-11,3.60763e-11,0.0
